lesson_code|code|title|lesson_order|slides_count|notes
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-1|Warm-up|1|7|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-3|Pronunciation|3|9|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-4|Language Practice|4|1|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-5|Discussion|5|1|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-1|Warm-up|1|12|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-2|Language Presentation/Review|2|4|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-3|Listening|3|6|Missing slides
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-4|Language Practice|4|8|Missing slides
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-5|Pronunciation|5|4|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-6|Speaking|6|1|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-1|Warm-up|1|1|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-3|Listening|3|3|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-4|Language Practice|4|7|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-5|Pronunciation|5|4|Slides together with activity 3
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-6|Discussion|6|1|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-1|Warm-up|1|5|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-2|Language Presentation/Review|2|9|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-3|Pronunciation|3|14|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-4|Language Practice|4|1|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-5|Discussion|5|1|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-1|Warm-up|1|1|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-3|Listening|3|6|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-4|Language Practice|4|7|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-5|Pronunciation|5|1|Missing Slides
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-6|Discussion|6|1|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-1|Warm-up|1|1|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-2|Language Presentation/Review|2|18|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-3|Listening|3|5|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-4|Language Practice|4|6|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-5|Pronunciation|5|6|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-6|Discussion|6|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-1|Warm-up|1|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-4|Listening|4|2|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-5|Language Practice|5|7|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-6|Discussion|6|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-1|Warm-up|1|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-2|Language Presentation/Review|2|4|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-4|Language Practice|4|6|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-5|Discussion|5|1|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-1|Warm-up|1|1|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-2|Language Presentation/Review|2|11|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-3|Listening|3|7|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-4|Language Practice|4|10|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-5|Pronunciation|5|6|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-6|Discussion|6|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-1|Warm-up|1|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-2|Language Presentation/Review|2|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-3|Listening|3|3|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-4|Language Practice|4|6|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-5|Pronunciation|5|7|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-6|Discussion|6|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-1|Warm-up|1|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-3|Listening|3|9|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-4|Language Practice|4|5|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-6|Discussion|6|1|
EE-BSC-A1-L12|EE-BSC-A1-L12-ACT-1|Warm-up|1|8|
EE-BSC-A1-L12|EE-BSC-A1-L12-ACT-2|Language Presentation/Review|2|45|
EE-BSC-A1-L12|EE-BSC-A1-L12-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L12|EE-BSC-A1-L12-ACT-4|Language Practice|4|6|
EE-BSC-A1-L12|EE-BSC-A1-L12-ACT-5|Discussion|5|1|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-1|Warm-up|1|1|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-3|Listening|3|7|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-4|Pronunciation|4|8|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-5|Language Practice|5|7|
EE-BSC-A1-L13|EE-BSC-A1-L13-ACT-6|Discussion|6|1|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-1|Warm-up|1|1|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-2|Language Presentation/Review|2|5|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-3|Listening|3|11|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-4|Language Practice|4|5|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-5|Pronunciation|5|7|
EE-BSC-A1-L14|EE-BSC-A1-L14-ACT-6|Discussion|6|1|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-1|Warm-up|1|1|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-3|Listening|3|8|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-4|Language Practice|4|7|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-5|Pronunciation|5|7|
EE-BSC-A1-L15|EE-BSC-A1-L15-ACT-6|Discussion|6|1|
EE-BSC-A1-L16|EE-BSC-A1-L16-ACT-1|Warm-up|1|6|
EE-BSC-A1-L16|EE-BSC-A1-L16-ACT-2|Grammar Presentation|2|7|
EE-BSC-A1-L16|EE-BSC-A1-L16-ACT-3|Pronunciation|3|10|
EE-BSC-A1-L16|EE-BSC-A1-L16-ACT-4|Grammar Practice|4|10|
EE-BSC-A1-L16|EE-BSC-A1-L16-ACT-5|Discussion|5|1|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-1|Warm-up|1|1|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-3|Listening|3|4|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-4|Language Practice|4|9|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L17|EE-BSC-A1-L17-ACT-6|Discussion|6|1|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-1|Warm-up|1|1|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-3|Listening|3|5|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-4|Language Practice|4|5|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L18|EE-BSC-A1-L18-ACT-6|Discussion|6|1|
EE-BSC-A1-L19|EE-BSC-A1-L19-ACT-1|Warm-up|1|1|
EE-BSC-A1-L19|EE-BSC-A1-L19-ACT-2|Language Presentation/Review|2|14|
EE-BSC-A1-L19|EE-BSC-A1-L19-ACT-3|Pronunciation|3|14|
EE-BSC-A1-L19|EE-BSC-A1-L19-ACT-4|Language Practice|4|6|
EE-BSC-A1-L19|EE-BSC-A1-L19-ACT-5|Discussion|5|1|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-1|Warm-up|1|1|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-3|Listening|3|15|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-4|Pronunciation|4|1|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-5|Language Practice|5|1|
EE-BSC-A1-L20|EE-BSC-A1-L20-ACT-6|Discussion|6|1|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-1|Warm-up|1|1|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-3|Listening|3|2|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-4|Language Practice|4|13|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L21|EE-BSC-A1-L21-ACT-6|Discussion|6|1|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-1|Warm-up|1|1|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-3|Listening|3|4|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-4|Language Practice|4|11|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L22|EE-BSC-A1-L22-ACT-6|Discussion|6|1|
EE-BSC-A1-L23|EE-BSC-A1-L23-ACT-1|Warm-up|1|1|
EE-BSC-A1-L23|EE-BSC-A1-L23-ACT-2|Language Presentation/Review|2|12|
EE-BSC-A1-L23|EE-BSC-A1-L23-ACT-3|Pronunciation|3|7|
EE-BSC-A1-L23|EE-BSC-A1-L23-ACT-4|Language Practice|4|11|
EE-BSC-A1-L23|EE-BSC-A1-L23-ACT-5|Discussion|5|1|
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-1|Warm-up|1|1|
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-2|Language Presentation/Review|2|1|activities 1 and 2 in the same slide
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-3|Listening|3|9|2a and 2 b separated
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-4|Language Practice|4|4|activities 3 and 4 in the same slide
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L24|EE-BSC-A1-L24-ACT-6|Discussion|6|1|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-1|Warm-up|1|1|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-2|Language Presentation/Review|2|11|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-3|Listening|3|3|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-4|Language Practice|4|8|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-5|Pronunciation|5|4|
EE-BSC-A1-L25|EE-BSC-A1-L25-ACT-6|Discussion|6|1|
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-1|Warm-up|1|1|
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-2|Language Presentation/Review|2|10|
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-3|Listening|3|4|activities 2 and 3 in the same slide
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-4|Language Practice|4|7|
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-5|Pronunciation|5|5|activities 4 and 5 in the same slide
EE-BSC-A1-L26|EE-BSC-A1-L26-ACT-6|Discussion|6|1|
EE-BSC-A1-L27|EE-BSC-A1-L27-ACT-1|Warm-up|1|1|
EE-BSC-A1-L27|EE-BSC-A1-L27-ACT-2|Language Presentation/Review|2|20|1a and 1b separated
EE-BSC-A1-L27|EE-BSC-A1-L27-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L27|EE-BSC-A1-L27-ACT-4|Language Practice|4|7|
EE-BSC-A1-L27|EE-BSC-A1-L27-ACT-5|Discussion|5|1|
EE-BSC-A1-L28|EE-BSC-A1-L28-ACT-1|Warm-up|1|1|
EE-BSC-A1-L28|EE-BSC-A1-L28-ACT-2|Language Presentation/Review|2|9|
EE-BSC-A1-L28|EE-BSC-A1-L28-ACT-3|Listening|3|10|
EE-BSC-A1-L28|EE-BSC-A1-L28-ACT-4|Pronunciation|4|9|
EE-BSC-A1-L28|EE-BSC-A1-L28-ACT-5|Discussion|5|1|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-1|Warm-up|1|1|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-3|Listening|3|3|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-4|Language Practice|4|7|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L29|EE-BSC-A1-L29-ACT-6|Discussion|6|1|
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-1|Warm-up|1|1|
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-2|Language Presentation/Review|2|10|
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-3|Listening|3|6|activities 2 and 3 in the same slide
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-4|Language Practice|4|6|
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-5|Pronunciation|5|1|activities 4 and 5 in the same slide
EE-BSC-A1-L30|EE-BSC-A1-L30-ACT-6|Discussion|6|1|
EE-BSC-A1-L31|EE-BSC-A1-L31-ACT-1|Warm-up|1|1|
EE-BSC-A1-L31|EE-BSC-A1-L31-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L31|EE-BSC-A1-L31-ACT-3|Pronunciation|3|13|activities 2 and 3 in the same slide
EE-BSC-A1-L31|EE-BSC-A1-L31-ACT-4|Language Practice|4|8|
EE-BSC-A1-L31|EE-BSC-A1-L31-ACT-5|Discussion|5|1|
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-1|Warm-up|1|1|
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-2|Vocabulary|2|6|activities 2 and 3 in the same slide
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-3|Listening|3|6|
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-4|Language Practice|4|6|activities 3 and 4 in the same slide
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-5|Pronunciation|5|14|
EE-BSC-A1-L32|EE-BSC-A1-L32-ACT-6|Discussion|6|1|
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-1|Warm-up|1|1|
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-2|Language Presentation/Review|2|11|
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-3|Listening|3|6|activities 2 and 3 in the same slide
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-4|Language Practice|4|1|
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-5|Pronunciation|5|6|
EE-BSC-A1-L33|EE-BSC-A1-L33-ACT-6|Discussion|6|1|
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-1|Warm-up|1|1|
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-2|Language Presentation/Review|2|1|
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-3|Listening|3|4|activities 2 and 3 in the same slide
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-4|Language Practice|4|5|
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L34|EE-BSC-A1-L34-ACT-6|Discussion|6|1|
EE-BSC-A1-L35|EE-BSC-A1-L35-ACT-1|Warm-up|1|1|missing slide
EE-BSC-A1-L35|EE-BSC-A1-L35-ACT-2|Language Presentation/Review|2|8|activities 1 and 2 in the same slide
EE-BSC-A1-L35|EE-BSC-A1-L35-ACT-3|Pronunciation|3|11|
EE-BSC-A1-L35|EE-BSC-A1-L35-ACT-4|Language Practice|4|6|
EE-BSC-A1-L35|EE-BSC-A1-L35-ACT-5|Role-play|5|1|
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-1|Warm-up|1|1|
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-2|Vocabulary|2|7|
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-3|Listening|3|6|activities 2 and 3 in the same slide
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-4|Pronunciation|4|9|
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-5|Language Practice|5|6|activities 4 and 5 in the same slide
EE-BSC-A1-L36|EE-BSC-A1-L36-ACT-6|Discussion|6|1|
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-1|Warm-up|1|1|
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-2|Language Presentation/Review|2|1|
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-3|Listening|3|5|activities 2 and 3 in the same slide
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-4|Pronunciation|4|1|
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-5|Language Practice|5|8|
EE-BSC-A1-L37|EE-BSC-A1-L37-ACT-6|Role-play/Discussion|6|1|
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-1|Warm-up|1|1|
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-2|Language Presentation/Review|2|4|activities 1 and 2 in the same slide
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-3|Listening|3|3|
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-4|Language Practice|4|9|activities 3 and 4 in the same slide
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-5|Pronunciation|5|2|
EE-BSC-A1-L38|EE-BSC-A1-L38-ACT-6|Discussion|6|1|
EE-BSC-A1-L39|EE-BSC-A1-L39-ACT-1|Warm-up|1|1|
EE-BSC-A1-L39|EE-BSC-A1-L39-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L39|EE-BSC-A1-L39-ACT-3|Pronunciation|3|2|
EE-BSC-A1-L39|EE-BSC-A1-L39-ACT-4|Language Practice|4|7|
EE-BSC-A1-L39|EE-BSC-A1-L39-ACT-5|Discussion|5|1|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-1|Warm-up|1|1|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-2|Language Presentation|2|5|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-3|Listening|3|5|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-4|Language Practice|4|4|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L40|EE-BSC-A1-L40-ACT-6|Discussion|6|1|
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-1|Warm-up|1|1|missing slide
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-3|Listening|3|5|
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-4|Language Practice|4|6|activities 3 and 4 in the same slide
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-5|Pronunciation|5|5|
EE-BSC-A1-L41|EE-BSC-A1-L41-ACT-6|Discussion|6|1|
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-1|Warm-up|1|1|
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-3|Listening|3|2|duplicated slide
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-4|Language Practice|4|5|activities 3 and 4 in the same slide
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L42|EE-BSC-A1-L42-ACT-6|Discussion|6|1|
EE-BSC-A1-L43|EE-BSC-A1-L43-ACT-1|Warm-up|1|1|
EE-BSC-A1-L43|EE-BSC-A1-L43-ACT-2|Language Presentation/Review|2|11|
EE-BSC-A1-L43|EE-BSC-A1-L43-ACT-3|Language Practice|3|7|
EE-BSC-A1-L43|EE-BSC-A1-L43-ACT-4|Role-play|4|2|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-1|Warm-up|1|1|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-2|Vocabulary|2|12|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-3|Listening|3|9|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-4|Pronunciation|4|4|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-5|Language Practice|5|9|
EE-BSC-A1-L44|EE-BSC-A1-L44-ACT-6|Discussion|6|2|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-1|Warm-up|1|1|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-2|Language Presentation/Review|2|7|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-3|Listening|3|5|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-4|Language Practice|4|6|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-5|Pronunciation|5|3|
EE-BSC-A1-L45|EE-BSC-A1-L45-ACT-6|Discussion|6|2|
EE-BSC-A1-L46|EE-BSC-A1-L46-ACT-1|Warm-up|1|1|
